Epoch [1/250], Train Loss: 18468.1091, Val Loss: 13765.4328, Test Loss: 13345.3806
Epoch [2/250], Train Loss: 12893.4703, Val Loss: 12238.7055, Test Loss: 11796.3054
Epoch [3/250], Train Loss: 8176.6098, Val Loss: 7506.0250, Test Loss: 7298.3292
Epoch [4/250], Train Loss: 4892.2282, Val Loss: 4017.4388, Test Loss: 3804.1008
Epoch [5/250], Train Loss: 2997.1418, Val Loss: 2241.2254, Test Loss: 2142.2751
Epoch [6/250], Train Loss: 1969.5647, Val Loss: 934.3597, Test Loss: 1000.6679
Epoch [7/250], Train Loss: 1476.7573, Val Loss: 1444.0066, Test Loss: 1585.3644
Epoch [8/250], Train Loss: 1176.2040, Val Loss: 795.6858, Test Loss: 905.5099
Epoch [9/250], Train Loss: 961.5154, Val Loss: 634.1958, Test Loss: 742.5251
Epoch [10/250], Train Loss: 821.0249, Val Loss: 604.4886, Test Loss: 684.6094
Epoch [11/250], Train Loss: 756.2495, Val Loss: 356.7946, Test Loss: 395.3264
Epoch [12/250], Train Loss: 667.5322, Val Loss: 536.8741, Test Loss: 575.1486
Epoch [13/250], Train Loss: 587.1994, Val Loss: 409.3768, Test Loss: 440.6182
Epoch [14/250], Train Loss: 625.4355, Val Loss: 652.9675, Test Loss: 645.0901
Epoch [15/250], Train Loss: 494.9558, Val Loss: 587.2714, Test Loss: 648.6386
Epoch [16/250], Train Loss: 489.6645, Val Loss: 402.5217, Test Loss: 418.2095
Epoch [17/250], Train Loss: 475.0172, Val Loss: 634.7209, Test Loss: 648.3142
Epoch [18/250], Train Loss: 436.0107, Val Loss: 498.8881, Test Loss: 502.9268
Epoch [19/250], Train Loss: 449.5930, Val Loss: 426.4503, Test Loss: 430.3242
Epoch [20/250], Train Loss: 398.8601, Val Loss: 858.7204, Test Loss: 871.3119
Epoch [21/250], Train Loss: 370.0076, Val Loss: 389.9812, Test Loss: 368.0968
Epoch [22/250], Train Loss: 379.8061, Val Loss: 284.6612, Test Loss: 283.3447
Epoch [23/250], Train Loss: 362.6177, Val Loss: 311.7908, Test Loss: 314.6297
Epoch [24/250], Train Loss: 340.7517, Val Loss: 267.1000, Test Loss: 268.4618
Epoch [25/250], Train Loss: 390.6175, Val Loss: 492.8991, Test Loss: 473.4707
Epoch [26/250], Train Loss: 349.4056, Val Loss: 1455.7146, Test Loss: 1507.2105
Epoch [27/250], Train Loss: 368.7239, Val Loss: 114.9626, Test Loss: 116.1980
Epoch [28/250], Train Loss: 328.7278, Val Loss: 293.9239, Test Loss: 299.0354
Epoch [29/250], Train Loss: 285.0154, Val Loss: 231.0186, Test Loss: 234.0234
Epoch [30/250], Train Loss: 286.2928, Val Loss: 546.1656, Test Loss: 553.0620
Epoch [31/250], Train Loss: 289.9262, Val Loss: 131.9616, Test Loss: 130.0266
Epoch [32/250], Train Loss: 302.6581, Val Loss: 1717.1075, Test Loss: 1698.2490
Epoch [33/250], Train Loss: 281.9799, Val Loss: 240.5904, Test Loss: 241.3108
Epoch [34/250], Train Loss: 288.6831, Val Loss: 105.6883, Test Loss: 111.0254
Epoch [35/250], Train Loss: 274.1730, Val Loss: 255.5238, Test Loss: 265.3225
Epoch [36/250], Train Loss: 290.1051, Val Loss: 271.3307, Test Loss: 283.8154
Epoch [37/250], Train Loss: 253.4731, Val Loss: 228.3494, Test Loss: 243.7954
Epoch [38/250], Train Loss: 251.4798, Val Loss: 648.2477, Test Loss: 654.0810
Epoch [39/250], Train Loss: 269.4893, Val Loss: 168.5797, Test Loss: 169.3119
Epoch [40/250], Train Loss: 247.3057, Val Loss: 180.8446, Test Loss: 176.1327
Epoch [41/250], Train Loss: 253.6895, Val Loss: 155.3882, Test Loss: 170.7851
Epoch [42/250], Train Loss: 231.8970, Val Loss: 612.3383, Test Loss: 606.0231
Epoch [43/250], Train Loss: 266.8266, Val Loss: 285.3522, Test Loss: 285.0879
Epoch [44/250], Train Loss: 277.4587, Val Loss: 142.6622, Test Loss: 147.2000
Epoch [45/250], Train Loss: 234.0875, Val Loss: 82.3204, Test Loss: 91.8996
Epoch [46/250], Train Loss: 229.3141, Val Loss: 227.3347, Test Loss: 235.6850
Epoch [47/250], Train Loss: 240.2404, Val Loss: 94.9890, Test Loss: 105.9085
Epoch [48/250], Train Loss: 239.9304, Val Loss: 331.7220, Test Loss: 340.0623
Epoch [49/250], Train Loss: 236.5882, Val Loss: 111.1308, Test Loss: 126.7737
Epoch [50/250], Train Loss: 200.0358, Val Loss: 153.9753, Test Loss: 167.4323
Epoch [51/250], Train Loss: 220.1441, Val Loss: 1099.6928, Test Loss: 1116.7899
Epoch [52/250], Train Loss: 213.3383, Val Loss: 132.2290, Test Loss: 129.1958
Epoch [53/250], Train Loss: 169.5604, Val Loss: 143.7955, Test Loss: 149.3564
Epoch [54/250], Train Loss: 224.0310, Val Loss: 970.4673, Test Loss: 990.3306
Epoch [55/250], Train Loss: 216.2549, Val Loss: 312.1951, Test Loss: 332.8722
Epoch [56/250], Train Loss: 206.6243, Val Loss: 154.9445, Test Loss: 162.0759
Epoch [57/250], Train Loss: 202.2192, Val Loss: 219.9649, Test Loss: 222.2817
Epoch [58/250], Train Loss: 191.3873, Val Loss: 563.0556, Test Loss: 579.3972
Epoch [59/250], Train Loss: 179.3529, Val Loss: 150.2192, Test Loss: 158.9044
Epoch [60/250], Train Loss: 203.2516, Val Loss: 172.6782, Test Loss: 174.6719
Epoch [61/250], Train Loss: 175.2513, Val Loss: 854.0577, Test Loss: 851.1660
Epoch [62/250], Train Loss: 177.4160, Val Loss: 234.5627, Test Loss: 259.6177
Epoch [63/250], Train Loss: 188.7079, Val Loss: 575.6876, Test Loss: 588.1634
Epoch [64/250], Train Loss: 149.5997, Val Loss: 111.8562, Test Loss: 127.0923
Epoch [65/250], Train Loss: 162.0758, Val Loss: 95.5413, Test Loss: 98.7408
Epoch [66/250], Train Loss: 161.0728, Val Loss: 98.3246, Test Loss: 105.2938
Epoch [67/250], Train Loss: 166.4248, Val Loss: 43.6475, Test Loss: 50.5524
Epoch [68/250], Train Loss: 155.0473, Val Loss: 84.1405, Test Loss: 88.1367
Epoch [69/250], Train Loss: 140.6294, Val Loss: 241.7445, Test Loss: 241.0767
Epoch [70/250], Train Loss: 139.0368, Val Loss: 144.9465, Test Loss: 155.2359
Epoch [71/250], Train Loss: 160.8961, Val Loss: 105.0747, Test Loss: 118.9330
Epoch [72/250], Train Loss: 153.1543, Val Loss: 184.3351, Test Loss: 186.9187
Epoch [73/250], Train Loss: 154.1274, Val Loss: 205.8095, Test Loss: 207.0520
Epoch [74/250], Train Loss: 138.1728, Val Loss: 151.0774, Test Loss: 159.7310
Epoch [75/250], Train Loss: 147.1977, Val Loss: 232.1335, Test Loss: 235.4278
Epoch [76/250], Train Loss: 152.9515, Val Loss: 290.7671, Test Loss: 302.8432
Epoch [77/250], Train Loss: 150.1687, Val Loss: 312.2783, Test Loss: 328.4604
Epoch [78/250], Train Loss: 108.8160, Val Loss: 202.4709, Test Loss: 211.0338
Epoch [79/250], Train Loss: 134.1111, Val Loss: 112.0852, Test Loss: 111.4909
Epoch [80/250], Train Loss: 127.5718, Val Loss: 138.4385, Test Loss: 136.0209
Epoch [81/250], Train Loss: 110.9674, Val Loss: 83.0885, Test Loss: 89.1570
Epoch [82/250], Train Loss: 144.1544, Val Loss: 109.6078, Test Loss: 128.8571
Epoch [83/250], Train Loss: 118.8884, Val Loss: 260.6873, Test Loss: 269.3475
Epoch [84/250], Train Loss: 102.9208, Val Loss: 102.4412, Test Loss: 112.3134
Epoch [85/250], Train Loss: 114.7571, Val Loss: 806.2914, Test Loss: 780.9847
Epoch [86/250], Train Loss: 104.1810, Val Loss: 92.9512, Test Loss: 97.2454
Epoch [87/250], Train Loss: 88.9005, Val Loss: 66.8608, Test Loss: 70.0863
Epoch [88/250], Train Loss: 97.2147, Val Loss: 249.1854, Test Loss: 253.2998
Epoch [89/250], Train Loss: 90.7327, Val Loss: 127.0227, Test Loss: 125.6905
Epoch [90/250], Train Loss: 102.9663, Val Loss: 147.1389, Test Loss: 154.9105
Epoch [91/250], Train Loss: 105.5849, Val Loss: 2080.0986, Test Loss: 2010.9200
