Epoch [1/250], Train Loss: 19751.9953, Val Loss: 16013.7802, Test Loss: 16469.8103
Epoch [2/250], Train Loss: 14527.9035, Val Loss: 11708.5162, Test Loss: 12001.1448
Epoch [3/250], Train Loss: 9104.9627, Val Loss: 8347.7587, Test Loss: 8492.7099
Epoch [4/250], Train Loss: 4681.3833, Val Loss: 2504.3118, Test Loss: 2367.6760
Epoch [5/250], Train Loss: 2347.9016, Val Loss: 1076.9564, Test Loss: 986.3117
Epoch [6/250], Train Loss: 1047.0942, Val Loss: 507.7004, Test Loss: 502.0672
Epoch [7/250], Train Loss: 503.6580, Val Loss: 311.0348, Test Loss: 296.4712
Epoch [8/250], Train Loss: 372.9101, Val Loss: 80.8139, Test Loss: 82.0496
Epoch [9/250], Train Loss: 264.0611, Val Loss: 32.3429, Test Loss: 31.5892
Epoch [10/250], Train Loss: 209.4077, Val Loss: 84.0618, Test Loss: 87.9704
Epoch [11/250], Train Loss: 133.9596, Val Loss: 64.2060, Test Loss: 64.5096
Epoch [12/250], Train Loss: 91.9832, Val Loss: 92.6627, Test Loss: 92.8509
Epoch [13/250], Train Loss: 36.5340, Val Loss: 51.4154, Test Loss: 53.4394
Epoch [14/250], Train Loss: 43.1627, Val Loss: 18.5798, Test Loss: 17.5700
Epoch [15/250], Train Loss: 36.3530, Val Loss: 19.2949, Test Loss: 20.2598
Epoch [16/250], Train Loss: 90.4879, Val Loss: 463.1912, Test Loss: 505.4629
Epoch [17/250], Train Loss: 167.1019, Val Loss: 94.1590, Test Loss: 94.9180
Epoch [18/250], Train Loss: 50.3377, Val Loss: 66.1260, Test Loss: 62.9604
Epoch [19/250], Train Loss: 20.5155, Val Loss: 9.6966, Test Loss: 9.7693
Epoch [20/250], Train Loss: 40.0101, Val Loss: 49.4664, Test Loss: 49.4641
Epoch [21/250], Train Loss: 96.4814, Val Loss: 48.8259, Test Loss: 51.7018
Epoch [22/250], Train Loss: 33.0871, Val Loss: 32.2017, Test Loss: 32.6408
Epoch [23/250], Train Loss: 18.0133, Val Loss: 11.8985, Test Loss: 12.5527
Epoch [24/250], Train Loss: 79.1997, Val Loss: 12.4960, Test Loss: 12.5913
Epoch [25/250], Train Loss: 10.1674, Val Loss: 12.9693, Test Loss: 13.6577
Epoch [26/250], Train Loss: 11.0948, Val Loss: 15.6128, Test Loss: 16.3245
Epoch [27/250], Train Loss: 32.1109, Val Loss: 21.1813, Test Loss: 19.7245
Epoch [28/250], Train Loss: 102.4275, Val Loss: 7.4371, Test Loss: 7.0668
Epoch [29/250], Train Loss: 61.2856, Val Loss: 59.0669, Test Loss: 47.5711
Epoch [30/250], Train Loss: 25.8001, Val Loss: 14.3692, Test Loss: 13.9625
Epoch [31/250], Train Loss: 5.6063, Val Loss: 9.9213, Test Loss: 9.5514
Epoch [32/250], Train Loss: 55.9685, Val Loss: 78.2657, Test Loss: 78.4110
Epoch [33/250], Train Loss: 13.4669, Val Loss: 97.8898, Test Loss: 100.3631
Epoch [34/250], Train Loss: 45.0913, Val Loss: 13.6259, Test Loss: 12.1976
Epoch [35/250], Train Loss: 40.0307, Val Loss: 26.4500, Test Loss: 26.8893
Epoch [36/250], Train Loss: 7.3272, Val Loss: 12.9720, Test Loss: 13.3814
Epoch [37/250], Train Loss: 94.8331, Val Loss: 53.0375, Test Loss: 56.1800
Epoch [38/250], Train Loss: 20.1242, Val Loss: 55.1242, Test Loss: 43.1496
Epoch [39/250], Train Loss: 26.3881, Val Loss: 12.8005, Test Loss: 12.6146
Epoch [40/250], Train Loss: 8.2105, Val Loss: 7.8575, Test Loss: 5.7988
Epoch [41/250], Train Loss: 3.9583, Val Loss: 5.7903, Test Loss: 5.9366
Epoch [42/250], Train Loss: 21.1853, Val Loss: 4.5403, Test Loss: 4.3483
Epoch [43/250], Train Loss: 25.8477, Val Loss: 26.0000, Test Loss: 26.1362
Epoch [44/250], Train Loss: 15.3518, Val Loss: 7.6055, Test Loss: 8.1277
Epoch [45/250], Train Loss: 9.5174, Val Loss: 91.4124, Test Loss: 94.4935
Epoch [46/250], Train Loss: 44.5543, Val Loss: 5.4079, Test Loss: 5.3714
Epoch [47/250], Train Loss: 7.1061, Val Loss: 23.3794, Test Loss: 22.0923
Epoch [48/250], Train Loss: 4.3038, Val Loss: 13.0424, Test Loss: 13.8293
Epoch [49/250], Train Loss: 11.4741, Val Loss: 69.2511, Test Loss: 71.6307
Epoch [50/250], Train Loss: 73.3675, Val Loss: 11.6092, Test Loss: 12.2869
Epoch [51/250], Train Loss: 54.8518, Val Loss: 14.4630, Test Loss: 14.1869
Epoch [52/250], Train Loss: 6.2110, Val Loss: 2.2878, Test Loss: 2.4501
Epoch [53/250], Train Loss: 3.5477, Val Loss: 4.4347, Test Loss: 4.8342
Epoch [54/250], Train Loss: 7.3238, Val Loss: 3.9184, Test Loss: 4.3581
Epoch [55/250], Train Loss: 2.9788, Val Loss: 6.2998, Test Loss: 6.9048
Epoch [56/250], Train Loss: 2.7549, Val Loss: 14.9171, Test Loss: 15.9853
Epoch [57/250], Train Loss: 23.6049, Val Loss: 3.3640, Test Loss: 3.1504
Epoch [58/250], Train Loss: 6.5402, Val Loss: 9.6037, Test Loss: 10.4186
Epoch [59/250], Train Loss: 7.0388, Val Loss: 4.5626, Test Loss: 5.0640
Epoch [60/250], Train Loss: 12.4280, Val Loss: 36.2163, Test Loss: 39.0828
Epoch [61/250], Train Loss: 29.9886, Val Loss: 40.7411, Test Loss: 43.3480
Epoch [62/250], Train Loss: 21.3612, Val Loss: 26.3540, Test Loss: 26.6717
Epoch [63/250], Train Loss: 24.8809, Val Loss: 86.4465, Test Loss: 75.4898
Epoch [64/250], Train Loss: 7.3895, Val Loss: 13.9819, Test Loss: 14.5456
Epoch [65/250], Train Loss: 3.6353, Val Loss: 6.3728, Test Loss: 6.6053
Epoch [66/250], Train Loss: 14.0972, Val Loss: 123.2382, Test Loss: 127.0539
Epoch [67/250], Train Loss: 16.8597, Val Loss: 31.1106, Test Loss: 18.4916
Epoch [68/250], Train Loss: 3.6328, Val Loss: 4.6848, Test Loss: 4.7112
Epoch [69/250], Train Loss: 2.2752, Val Loss: 13.3252, Test Loss: 13.4027
Epoch [70/250], Train Loss: 2.2946, Val Loss: 2.5206, Test Loss: 2.1150
Epoch [71/250], Train Loss: 20.0206, Val Loss: 7.5375, Test Loss: 8.0652
Epoch [72/250], Train Loss: 3.9344, Val Loss: 19.6246, Test Loss: 20.3810
Epoch [73/250], Train Loss: 14.1248, Val Loss: 3.7188, Test Loss: 4.2225
Epoch [74/250], Train Loss: 2.5493, Val Loss: 14.5534, Test Loss: 11.5350
Epoch [75/250], Train Loss: 2.2400, Val Loss: 5.7879, Test Loss: 6.2877
Epoch [76/250], Train Loss: 32.7839, Val Loss: 3.7967, Test Loss: 4.1558
Epoch [77/250], Train Loss: 2.6427, Val Loss: 8.8735, Test Loss: 9.7763
Epoch [78/250], Train Loss: 11.4424, Val Loss: 18.8530, Test Loss: 19.9875
Epoch [79/250], Train Loss: 6.9373, Val Loss: 2.4898, Test Loss: 2.7906
Epoch [80/250], Train Loss: 2.3059, Val Loss: 6.2418, Test Loss: 6.8645
Epoch [81/250], Train Loss: 3.7311, Val Loss: 13.3024, Test Loss: 14.3115
Epoch [82/250], Train Loss: 63.1619, Val Loss: 4.7148, Test Loss: 4.9879
