Epoch [1/100], Average Loss: 18565.4484
Epoch [2/100], Average Loss: 10838.1590
Epoch [3/100], Average Loss: 4659.6542
Epoch [4/100], Average Loss: 1697.5245
Epoch [5/100], Average Loss: 548.2084
Epoch [6/100], Average Loss: 263.4524
Epoch [7/100], Average Loss: 127.9585
Epoch [8/100], Average Loss: 57.2559
Epoch [9/100], Average Loss: 130.8388
Epoch [10/100], Average Loss: 37.7034
Epoch [11/100], Average Loss: 23.9907
Epoch [12/100], Average Loss: 22.4246
Epoch [13/100], Average Loss: 10.2763
Epoch [14/100], Average Loss: 82.3199
Epoch [15/100], Average Loss: 14.7378
Epoch [16/100], Average Loss: 7.7390
Epoch [17/100], Average Loss: 6.9389
Epoch [18/100], Average Loss: 5.4611
Epoch [19/100], Average Loss: 5.1337
Epoch [20/100], Average Loss: 152.8908
Epoch [21/100], Average Loss: 70.9510
Epoch [22/100], Average Loss: 13.4815
Epoch [23/100], Average Loss: 8.1519
Epoch [24/100], Average Loss: 12.6793
Epoch [25/100], Average Loss: 39.7709
Epoch [26/100], Average Loss: 10.7441
Epoch [27/100], Average Loss: 4.3495
Epoch [28/100], Average Loss: 3.7125
Epoch [29/100], Average Loss: 2.9950
Epoch [30/100], Average Loss: 3.3315
Epoch [31/100], Average Loss: 2.8563
Epoch [32/100], Average Loss: 2.8731
Epoch [33/100], Average Loss: 7.7600
Epoch [34/100], Average Loss: 31.1812
Epoch [35/100], Average Loss: 4.7228
Epoch [36/100], Average Loss: 38.1300
Epoch [37/100], Average Loss: 7.0149
Epoch [38/100], Average Loss: 19.1918
Epoch [39/100], Average Loss: 42.1288
Epoch [40/100], Average Loss: 37.7909
Epoch [41/100], Average Loss: 9.0222
Epoch [42/100], Average Loss: 3.1529
Epoch [43/100], Average Loss: 3.1776
Epoch [44/100], Average Loss: 2.5728
Epoch [45/100], Average Loss: 3.8236
Epoch [46/100], Average Loss: 2.8563
Epoch [47/100], Average Loss: 2.1271
Epoch [48/100], Average Loss: 2.2688
Epoch [49/100], Average Loss: 2.3585
Epoch [50/100], Average Loss: 1.8266
Epoch [51/100], Average Loss: 2.4689
Epoch [52/100], Average Loss: 2.1754
Epoch [53/100], Average Loss: 2.7448
Epoch [54/100], Average Loss: 2.0810
Epoch [55/100], Average Loss: 2.4670
Epoch [56/100], Average Loss: 1.9339
Epoch [57/100], Average Loss: 1.7541
Epoch [58/100], Average Loss: 1.7270
Epoch [59/100], Average Loss: 1.5337
Epoch [60/100], Average Loss: 1.4743
Epoch [61/100], Average Loss: 2.0285
Epoch [62/100], Average Loss: 9.7860
Epoch [63/100], Average Loss: 13.9773
Epoch [64/100], Average Loss: 13.2802
Epoch [65/100], Average Loss: 8.6153
Epoch [66/100], Average Loss: 1.4432
Epoch [67/100], Average Loss: 1.3273
Epoch [68/100], Average Loss: 1.4540
Epoch [69/100], Average Loss: 1.1999
Epoch [70/100], Average Loss: 1.1692
Epoch [71/100], Average Loss: 1.5855
Epoch [72/100], Average Loss: 1.0988
Epoch [73/100], Average Loss: 1.0784
Epoch [74/100], Average Loss: 37.1359
Epoch [75/100], Average Loss: 2.5511
Epoch [76/100], Average Loss: 1.3529
Epoch [77/100], Average Loss: 1.2774
Epoch [78/100], Average Loss: 1.0038
Epoch [79/100], Average Loss: 1.5584
Epoch [80/100], Average Loss: 1.2112
Epoch [81/100], Average Loss: 25.0673
Epoch [82/100], Average Loss: 62.8781
Epoch [83/100], Average Loss: 7.6237
Epoch [84/100], Average Loss: 2.0003
Epoch [85/100], Average Loss: 1.5725
Epoch [86/100], Average Loss: 4.2660
Epoch [87/100], Average Loss: 1.2064
Epoch [88/100], Average Loss: 1.1345
Epoch [89/100], Average Loss: 23.5907
Epoch [90/100], Average Loss: 1.7708
Epoch [91/100], Average Loss: 1.4310
Epoch [92/100], Average Loss: 25.0518
Epoch [93/100], Average Loss: 2.4747
Epoch [94/100], Average Loss: 1.6148
Epoch [95/100], Average Loss: 1.4281
Epoch [96/100], Average Loss: 4.0143
Epoch [97/100], Average Loss: 1.3870
Epoch [98/100], Average Loss: 0.9367
Epoch [99/100], Average Loss: 0.8864
Epoch [100/100], Average Loss: 0.9204
