Epoch [1/250], Average Loss: 17081.4162
Epoch [2/250], Average Loss: 9356.9144
Epoch [3/250], Average Loss: 4454.5501
Epoch [4/250], Average Loss: 2216.2590
Epoch [5/250], Average Loss: 1390.0047
Epoch [6/250], Average Loss: 1121.2610
Epoch [7/250], Average Loss: 851.1905
Epoch [8/250], Average Loss: 738.3511
Epoch [9/250], Average Loss: 567.8458
Epoch [10/250], Average Loss: 566.9090
Epoch [11/250], Average Loss: 474.3634
Epoch [12/250], Average Loss: 467.5207
Epoch [13/250], Average Loss: 417.3245
Epoch [14/250], Average Loss: 391.5520
Epoch [15/250], Average Loss: 383.0360
Epoch [16/250], Average Loss: 379.1704
Epoch [17/250], Average Loss: 326.9784
Epoch [18/250], Average Loss: 327.3303
Epoch [19/250], Average Loss: 335.4715
Epoch [20/250], Average Loss: 314.0249
Epoch [21/250], Average Loss: 315.0678
Epoch [22/250], Average Loss: 298.8393
Epoch [23/250], Average Loss: 285.2538
Epoch [24/250], Average Loss: 308.0600
Epoch [25/250], Average Loss: 286.7822
Epoch [26/250], Average Loss: 282.2201
Epoch [27/250], Average Loss: 262.5893
Epoch [28/250], Average Loss: 255.3263
Epoch [29/250], Average Loss: 245.1081
Epoch [30/250], Average Loss: 215.9381
Epoch [31/250], Average Loss: 222.5509
Epoch [32/250], Average Loss: 222.9686
Epoch [33/250], Average Loss: 219.7245
Epoch [34/250], Average Loss: 212.4508
Epoch [35/250], Average Loss: 228.7073
Epoch [36/250], Average Loss: 226.4273
Epoch [37/250], Average Loss: 214.5431
Epoch [38/250], Average Loss: 210.4488
Epoch [39/250], Average Loss: 202.7524
Epoch [40/250], Average Loss: 193.1972
Epoch [41/250], Average Loss: 188.7553
Epoch [42/250], Average Loss: 176.4509
Epoch [43/250], Average Loss: 196.3510
Epoch [44/250], Average Loss: 180.9768
Epoch [45/250], Average Loss: 172.7389
Epoch [46/250], Average Loss: 170.9063
Epoch [47/250], Average Loss: 165.1231
Epoch [48/250], Average Loss: 153.0141
Epoch [49/250], Average Loss: 185.1060
Epoch [50/250], Average Loss: 156.0482
Epoch [51/250], Average Loss: 139.9026
Epoch [52/250], Average Loss: 158.4636
Epoch [53/250], Average Loss: 134.3241
Epoch [54/250], Average Loss: 149.2071
Epoch [55/250], Average Loss: 144.8798
Epoch [56/250], Average Loss: 129.2271
Epoch [57/250], Average Loss: 117.7160
Epoch [58/250], Average Loss: 114.1516
Epoch [59/250], Average Loss: 121.3326
Epoch [60/250], Average Loss: 124.4143
Epoch [61/250], Average Loss: 160.3168
Epoch [62/250], Average Loss: 108.3486
Epoch [63/250], Average Loss: 99.9407
Epoch [64/250], Average Loss: 97.7817
Epoch [65/250], Average Loss: 101.4344
Epoch [66/250], Average Loss: 87.7199
Epoch [67/250], Average Loss: 81.4087
Epoch [68/250], Average Loss: 88.6564
Epoch [69/250], Average Loss: 83.1814
Epoch [70/250], Average Loss: 82.3398
Epoch [71/250], Average Loss: 95.1373
Epoch [72/250], Average Loss: 69.9046
Epoch [73/250], Average Loss: 75.9728
Epoch [74/250], Average Loss: 68.8453
Epoch [75/250], Average Loss: 75.7871
Epoch [76/250], Average Loss: 79.1390
Epoch [77/250], Average Loss: 72.0470
Epoch [78/250], Average Loss: 69.0134
Epoch [79/250], Average Loss: 68.6320
Epoch [80/250], Average Loss: 71.0488
Epoch [81/250], Average Loss: 60.2031
Epoch [82/250], Average Loss: 74.6445
Epoch [83/250], Average Loss: 62.7724
Epoch [84/250], Average Loss: 54.7395
Epoch [85/250], Average Loss: 79.6607
Epoch [86/250], Average Loss: 65.5213
Epoch [87/250], Average Loss: 61.3355
Epoch [88/250], Average Loss: 69.5591
Epoch [89/250], Average Loss: 50.1660
Epoch [90/250], Average Loss: 58.2637
Epoch [91/250], Average Loss: 56.2876
Epoch [92/250], Average Loss: 53.4497
Epoch [93/250], Average Loss: 53.2683
Epoch [94/250], Average Loss: 63.3095
Epoch [95/250], Average Loss: 55.1330
Epoch [96/250], Average Loss: 50.0823
Epoch [97/250], Average Loss: 53.1864
Epoch [98/250], Average Loss: 50.3107
Epoch [99/250], Average Loss: 57.8528
Epoch [100/250], Average Loss: 49.1362
Epoch [101/250], Average Loss: 55.2980
Epoch [102/250], Average Loss: 47.3092
Epoch [103/250], Average Loss: 48.1313
Epoch [104/250], Average Loss: 43.5360
Epoch [105/250], Average Loss: 51.2260
Epoch [106/250], Average Loss: 53.8328
Epoch [107/250], Average Loss: 42.2739
Epoch [108/250], Average Loss: 53.2816
Epoch [109/250], Average Loss: 47.6348
Epoch [110/250], Average Loss: 48.7351
Epoch [111/250], Average Loss: 43.9952
Epoch [112/250], Average Loss: 44.9294
Epoch [113/250], Average Loss: 50.5858
Epoch [114/250], Average Loss: 39.7346
Epoch [115/250], Average Loss: 43.4093
Epoch [116/250], Average Loss: 46.0509
Epoch [117/250], Average Loss: 43.5275
Epoch [118/250], Average Loss: 38.6657
Epoch [119/250], Average Loss: 47.1616
Epoch [120/250], Average Loss: 41.8826
Epoch [121/250], Average Loss: 49.8401
Epoch [122/250], Average Loss: 39.6552
Epoch [123/250], Average Loss: 40.5017
Epoch [124/250], Average Loss: 44.1445
Epoch [125/250], Average Loss: 42.8246
Epoch [126/250], Average Loss: 42.8674
Epoch [127/250], Average Loss: 36.4907
